id,type,title,question,answer-choice,answer,note
1.6SC,Multi-Select,Self-Check 1.6: legalIdentifiers,Which of the following can be used in a Java program as identifiers? Check all of the identifiers that are legal.,"[""_average"", ""first-name"", ""B4"", ""println"", ""sum_of_data"", ""ABC"", ""42isThesolution"", ""for"", ""AnnualSalary"", ""\""hello\""""]","[""_average"", ""B4"", ""println"", ""sum_of_data"", ""ABC"", ""AnnualSalary""]","We often receive emails from users claiming that this problem is wrong, or has a bug, or does not accept the correct solution. No; it does not. If your answer is being marked as incorrect, it is because your answer is incorrect."
1.7SC,Multiple-Choice,Self-Check 1.7: outputSyntax,"Which of the following is the correct syntax to output a message?
","[""System.println.out(\'Hello, world!\');"", ""System.println(Hello, world!);"", ""System.out.println(\""Hello, world!\"");"", ""Out.system.println\""(Hello, world!)\"";"", ""System.println(\""Hello, world!\"");""]","[""System.out.println(\""Hello, world!\"");""]",
","[""System.println.out(\'Hello, world!\');"", ""System.println(Hello, world!);"", ""System.out.println(\""Hello, world!\"");"", ""Out.system.println\""(Hello, world!)\"";"", ""System.println(\""Hello, world!\"");""]","[""System.out.println(\""Hello, world!\"");""]",
1.8SC,Free-Response,Self-Check 1.8: confounding,"What is the output produced from the following statements?

System.out.println(""\""Quotes\"""");
System.out.println(""Slashes \\//"");
System.out.println(""How '\""confounding' \""\\\"" it is!"");",,,
1.9SC,Free-Response,Self-Check 1.9: Archie,"What is the output produced from the following statements? (Treat tabs as aligning to every multiple of eight spaces.)

System.out.println(""name\tage\theight"");
System.out.println(""Archie\t17\t5'9\"""");
System.out.println(""Betty\t17\t5'6\"""");
System.out.println(""Jughead\t16\t6'"");",,,"Many students fail this problem by not understanding how the \t character works, causing them to have the wrong number of spaces. A tab inserts multiple spaces until the total number of characters on the current line so far is a multiple of 8. So forExample, in the string ""hi\thello\tgoodbye\tbeautiful\thi"", the first \t becomes 6 spaces (because ""hi"" is 2 characters, so it takes 6 more to get to 8), the second \t is 3 spaces (because ""hello"" is 5 characters wide, so it takes 3 more characters to get to 8), the third is 1 (because ""goodbye"" is 7 characters), and the fourth \t is 7 spaces (because ""beautiful"" is 9 characters, so it takes 7 more to get to 16, which is the next multiple of 8)."
1.10SC,Free-Response,Self-Check 1.10: Shaq,"What is the output produced from the following statements?

System.out.println(""Shaq is 7'1"");
System.out.println(""The string \""\"" is an empty message."");
System.out.println(""\\'\""\"""");",,,
1.11SC,Free-Response,Self-Check 1.11: downwardSpiral,"What is the output produced from the following statements? (Treat tabs as aligning to every multiple of eight spaces.)

System.out.println(""\\\\"");
System.out.println(""'"");
System.out.println(""\ta\tb\tc"");
System.out.println(""\""\""\"""");
System.out.println(""C:\nin\the downward spiral"");",,,"Many students fail this problem by not understanding how the \t character works, causing them to have the wrong number of spaces. A tab inserts multiple spaces until the total number of characters on the current line so far is a multiple of 8. So forExample, in the string ""hi\thello\tgoodbye\tbeautiful\thi"", the first \t becomes 6 spaces (because ""hi"" is 2 characters, so it takes 6 more to get to 8), the second \t is 3 spaces (because ""hello"" is 5 characters wide, so it takes 3 more characters to get to 8), the third is 1 (because ""goodbye"" is 7 characters), and the fourth \t is 7 spaces (because ""beautiful"" is 9 characters, so it takes 7 more to get to 16, which is the next multiple of 8)."
1.12SC,Free-Response,Self-Check 1.12: DoubleSlash,"What is the output from the following Java program? (Assume that a tab isExpanded into eight spaces.)

public class Letter {
    public static void main(String[] args) {
        System.out.println(""Dear \""DoubleSlash\"" magazine,"");
        System.out.println();
        System.out.println(""\tYour publication confuses me. Is it"");
        System.out.println(""a \\\\ slash or a //// slash?"");
        System.out.println(""\nSincerely,"");
        System.out.println(""Susan \""Suzy\"" Smith"");
    }
}",,,
1.13SC,Free-Response,Self-Check 1.13: Sally,"What series of println statements would produce the following output?

""Several slashes are sometimes seen,""
said Sally. ""I've said so."" See?
\ / \\ // \\\ ///",,,"Many students fail this problem by not understanding how the \t character works, causing them to have the wrong number of spaces. A tab inserts multiple spaces until the total number of characters on the current line so far is a multiple of 8. So forExample, in the string ""hi\thello\tgoodbye\tbeautiful\thi"", the first \t becomes 6 spaces (because ""hi"" is 2 characters, so it takes 6 more to get to 8), the second \t is 3 spaces (because ""hello"" is 5 characters wide, so it takes 3 more characters to get to 8), the third is 1 (because ""goodbye"" is 7 characters), and the fourth \t is 7 spaces (because ""beautiful"" is 9 characters, so it takes 7 more to get to 16, which is the next multiple of 8)."
1.14SC,Free-Response,Self-Check 1.14: TestOfKnowledge,"What series of println statements would produce the following output?

This is a test of your
knowledge of ""quotes"" used
in 'string literals.'

You're bound to ""get it right""
if you read the section on
''quotes.''",,,
1.15SC,Free-Response,Self-Check 1.15: printlnSlashes,"Write a println statement that produces the following output:

/ \ // \\ /// \\\",,,
"1.16SC
",Free-Response,Self-Check 1.16: withoutPrintStatements,"Rewrite the following code as a series of equivalent System.out.println statements (i.e., without any System.out.print statements):

System.out.print(""Twas "");
System.out.print(""brillig and the "");
System.out.println("" "");
System.out.print(""  slithy toves did"");
System.out.print("" "");
System.out.println(""gyre and"");
System.out.println(  ""gimble"");
System.out.println();
System.out.println(  ""in the wabe."" );",,,
1.17SC,Free-Response,Self-Check 1.17: Commentary,"What is the output of the following program? Note that the program contains several comments.

public class Commentary {
    public static void main(String[] args) {
        System.out.println(""some lines of code"");
        System.out.println(""have // characters on them"");
        System.out.println(""which means "");  // that they are comments
        // System.out.println(""written by the programmer."");
​
        System.out.println(""lines can also"");
        System.out.println(""have /* and */ characters"");
        /* System.out.println(""which represents"");
        System.out.println(""a multi-line style"");
        */ System.out.println(""of comment."");
    }
}",,,
1.18SC,Free-Response,Self-Check 1.18: MyProgram-errors,,,,
1.19SC,Free-Response,Self-Check 1.19: SecretMessage-errors,,,,
1.20SC,Free-Response,Self-Check 1.20: FamousSpeech-errors,,,,
1.21SC,Multiple-Choice,Self-Check 1.21: methodHeaderSyntax,Which of the following method headers uses the correct syntax?,"[""public void staticExample{} ("", ""public staticExample() {"", ""public static voidExample() {"", ""public void staticExample() {"", ""public staticExample void[] {""]","[""public static voidExample() {""]",
1.21SC,Multiple-Choice,Self-Check 1.21: methodHeaderSyntax,Which of the following method headers uses the correct syntax?,"[""public void staticExample{} ("", ""public staticExample() {"", ""public static voidExample() {"", ""public void staticExample() {"", ""public staticExample void[] {""]","[""public static voidExample() {""]",
1.22SC,Free-Response,Self-Check 1.22: Tricky,"What is the output produced from the following program? You may wish to draw a structure diagram first.

public class Tricky {
    public static void main(String[] args) {
        message1();
        message2();
        System.out.println(""Done with main."");
    }
​
    public static void message1() {
        System.out.println(""This is message1."");
    }
​
    public static void message2() {
        System.out.println(""This is message2."");
        message1();
        System.out.println(""Done with message2."");
    }
}",,,
1.23SC,Free-Response,Self-Check 1.23: Strange,"What is the output produced from the following program? You may wish to draw a structure diagram first.

public class Strange {
    public static void main(String[] args) {
        first();
        third();
        second();
        third();
    }
    
    public static void first() {
        System.out.println(""Inside first method."");
    }
    
    public static void second() {
        System.out.println(""Inside second method."");
        first();
    }
    
    public static void third() {
        System.out.println(""Inside third method."");
        first();
        second();
    }
}",,,
1.24SC,Free-Response,Self-Check 1.24: Strange2,"public class Strange {
    public static void main(String[] args) {
        first();
        third();
        second();
        third();
    }
    
    public static void first() {
        System.out.println(""Inside first method."");
    }
    
    public static void second() {
        System.out.println(""Inside second method."");
        first();
    }
    
    public static void third() {
        first();
        second();
        System.out.println(""Inside third method."");
    }
}",,,
1.25SC,Free-Response,Self-Check 1.25: Strange3,"What is the output produced from the following program? You may wish to draw a structure diagram first. This is a slightly modified version of the previous problem, Strange.

public class Strange {
    public static void main(String[] args) {
        second();
        first();
        second();
        third();
    }
    
    public static void first() {
        System.out.println(""Inside first method."");
    }
    
    public static void second() {
        System.out.println(""Inside second method."");
        first();
    }
    
    public static void third() {
        System.out.println(""Inside third method."");
        first();
        second();
    }
}
",,,
1.26SC,Free-Response,Self-Check 1.26: Confusing,"What is the output from the following Java program?

public class Confusing {
    public static void method1() {
        System.out.println(""I am method 1."");
    }
​
    public static void method2() {
        method1();
        System.out.println(""I am method 2."");
    }
​
    public static void method3() {
        method2();
        System.out.println(""I am method 3."");
        method1();
    }
​
    public static void main(String[] args) {
        method1();
        method3();
        method2();
        method3();
    }
}",,,
1.27SC,Free-Response,Self-Check 1.27: Confusing2,"What is the output produced from the following program? You may wish to draw a structure diagram first. This is a slightly modified version of the previous problem, Confusing.

public class Confusing {
    public static void main(String[] args) {
        method1();
        method3();
        method2();
        method3();
    }
​
    public static void method2() {
        method1();
        System.out.println(""I am method 2."");
    }
​
    public static void method3() {
        method1();
        method2();
        System.out.println(""I am method 3."");
    }
​
    public static void method1() {
        System.out.println(""I am method 1."");
    }
}",,,
1.28SC,Free-Response,Self-Check 1.28: Confusing3,"What is the output produced from the following program? You may wish to draw a structure diagram first. This is a slightly modified version of the previous problem, Confusing2.

public class Confusing {
    public static void main(String[] args) {
        method2();
        method1();
        method3();
        method2();
    }
    
    public static void method2() {
        method1();
        System.out.println(""I am method 2."");
    }
    
    public static void method3() {
        method2();
        System.out.println(""I am method 3."");
        method1();
    }
    
    public static void method1() {
        System.out.println(""I am method 1."");
    }
}",,,
1.29SC,Free-Response,Self-Check 1.29: LotsOfErrors-errors,,,,
1.30SC,Multiple-Dropdown,Self-Check 1.30: javaClub,"Consider the following program, saved into a file namedExample.java:

 1  public classExample {
 2      public static void displayRule() {
 3          System.out.println(""The first rule "");
 4          System.out.println(""of Java Club is,"");
 5          System.out.println();
 6          System.out.println(""you do not talk about Java Club."");
 7      }
 8
 9      public static void main(String[] args) {
10          System.out.println(""The rules of Java Club."");
11          displayRule();
12          displayRule();
13      }
14  }
What would happen if each of the following changes were made to theExample program? Treat each change independently of the others.

If there would be no change to the program, choose ""nothing"".
If it would cause the program not to compile, or an error when attempting to run it, choose ""error"".
If it would change the program's output, choose ""output"".",,,
1.30aSC,Dropdown,Self-Check 1.30: javaClub,"a) Change line 1 to:
public class Demonstration","[""nothing"", ""error"", ""output""]","[""error""]",
public class Demonstration","[""nothing"", ""error"", ""output""]","[""error""]",
1.30bSC,Dropdown,Self-Check 1.30: javaClub,"b) Change line 9 to:
public static void MAIN(String[] args) {","[""nothing"", ""error"", ""output""]","[""error""]",
public static void MAIN(String[] args) {","[""nothing"", ""error"", ""output""]","[""error""]",
1.30cSC,Dropdown,Self-Check 1.30: javaClub,"c) Insert a new line after line 11 that reads:
System.out.println();","[""nothing"", ""error"", ""output""]","[""output""]",
System.out.println();","[""nothing"", ""error"", ""output""]","[""output""]",
1.30dSC,Dropdown,Self-Check 1.30: javaClub,"d) Change line 2 to:
public static void printMessage() {","[""nothing"", ""error"", ""output""]","[""error""]",
public static void printMessage() {","[""nothing"", ""error"", ""output""]","[""error""]",
1.30eSC,Dropdown,Self-Check 1.30: javaClub,"e) Change line 2 to:
public static void showMessage() {
and change lines 11 and 12 to:
showMessage();","[""nothing"", ""error"", ""output""]","[""nothing""]",
showMessage();","[""nothing"", ""error"", ""output""]","[""nothing""]",
1.30fSC,Dropdown,Self-Check 1.30: javaClub,"f) Replace lines 3-4 with:
System.out.println(""The first rule of Java Club is,"");","[""nothing"", ""error"", ""output""]","[""output""]",
System.out.println(""The first rule of Java Club is,"");","[""nothing"", ""error"", ""output""]","[""output""]",
1.31SC,Free-Response,Self-Check 1.31: GiveAdvice,,,,
1.32SC,Free-Response,Self-Check 1.32: Messy,,,,
1.1E,Free-Response,Exercise 1.1: Stewie,"Write a complete Java program in a class named Stewie that prints the following output:

//////////////////////
|| Victory is mine! ||
\\\\\\\\\\\\\\\\\\\\\\",,,
1.2E,Free-Response,Exercise 1.2: Spikey,"Write a complete Java program in a class named Spikey that prints the following output:

  \/
 \\//
\\\///
///\\\
 //\\
  /\",,,
1.3E,Free-Response,Exercise 1.3: WellFormed,"Write a complete Java program in a class named WellFormed that prints the following output:

A well-formed Java program has
a main method with { and }
braces.

A System.out.println statement
has ( and ) and usually a
String that starts and ends
with a "" character.
(But we type \"" instead!)",,,
1.4E,Free-Response,Exercise 1.4: Difference,"Write a complete Java program in a class named Difference that prints the following output:

What is the difference between
a ' and a ""?  Or between a "" and a \""?

One is what we see when we're typing our program.
The other is what appears on the ""console.""",,,
1.5E,Free-Response,Exercise 1.5: MuchBetter,"Write a complete Java program in a class named MuchBetter that prints the following output:

A ""quoted"" String is
'much' better if you learn
the rules of ""escape sequences.""
Also, """" represents an empty String.
Don't forget: use \"" instead of "" !
'' is not the same as """,,,
1.6E,Free-Response,Exercise 1.6: Meta,"Write a complete Java program called Meta whose output is the text that would be the source code of a Java program named Hello that prints ""Hello, world!"" as its output:

public class Hello {
    public static void main(String[] args) {
        System.out.println(""Hello, world!"");
    }
}
Your program must produceExactly the output shown in order to pass (usingExactly four spaces for each increment of indentation in the output).",,,
1.7E,Free-Response,Exercise 1.7: Mantra,"Write a complete Java program in a class named Mantra that produces the following output. Remove its redundancy by adding a method.

There's one thing every coder must understand:
The System.out.println command.

There's one thing every coder must understand:
The System.out.println command.",,,
1.8E,Free-Response,Exercise 1.8: Stewie2,"Write a complete Java program in a class named Stewie2 that prints the following output. Use at least one static method besides main to remove redundancy.

//////////////////////
|| Victory is mine! ||
\\\\\\\\\\\\\\\\\\\\\\
|| Victory is mine! ||
\\\\\\\\\\\\\\\\\\\\\\
|| Victory is mine! ||
\\\\\\\\\\\\\\\\\\\\\\
|| Victory is mine! ||
\\\\\\\\\\\\\\\\\\\\\\
|| Victory is mine! ||
\\\\\\\\\\\\\\\\\\\\\\",,,
1.9E,Free-Response,Exercise 1.9: Egg,"Write a complete Java program in a class named Egg that displays the following output:

  _______
 /              \
/                \
-""-'-""-'-""-
\                /
 \_______/",,,
1.10E,Free-Response,Exercise 1.10: Egg2,"Write a complete Java program in a class named Egg2 that generates the following output. Use static methods to show structure and eliminate redundancy in your solution.

  _______
 /       \
/         \
\         /
 \_______/
-""-'-""-'-""-
  _______
 /       \
/         \
\         /
 \_______/
-""-'-""-'-""-
\         /
 \_______/
  _______
 /       \
/         \
-""-'-""-'-""-
\         /
 \_______/",,,
1.11E,Free-Response,Exercise 1.11: TwoRockets,"Write a complete Java program in a class named TwoRockets that generates the following output. Use static methods to show structure and eliminate redundancy in your solution.

Note that there are two rocket ships next to each other. What redundancy can you eliminate using static methods? What redundancy cannot be eliminated?

   /\       /\
  /  \     /  \
 /    \   /    \
+------+ +------+
|      | |      |
|      | |      |
+------+ +------+
|United| |United|
|States| |States|
+------+ +------+
|      | |      |
|      | |      |
+------+ +------+
   /\       /\
  /  \     /  \
 /    \   /    \",,,
1.12E,Free-Response,Exercise 1.12: FightSong,"Write a complete Java program in a class named FightSong that generates the following three figures of output. Use static methods to show structure and eliminate redundancy in your solution.

In particular, make sure that main contains no System.out.println statements, that any System.out.println statement(s) repeated are captured in a method that is called just once, and that the same System.out.println statement never appears in two places in the code.

Go, team, go!
You can do it.

Go, team, go!
You can do it.
You're the best,
In the West.
Go, team, go!
You can do it.

Go, team, go!
You can do it.
You're the best,
In the West.
Go, team, go!
You can do it.

Go, team, go!
You can do it.",,,
1.13E,Free-Response,Exercise 1.13: StarFigures,"Write a complete Java program in a class named StarFigures that generates the following output. Use static methods to show structure and eliminate redundancy in your solution.

*****
*****
 * *
  *
 * *

*****
*****
 * *
  *
 * *
*****
*****

  *
  *
  *
*****
*****
 * *
  *
 * *",,,
1.14E,Free-Response,Exercise 1.14: Lanterns,"Write a complete Java program in a class named Lanterns that generates the following three figures of output. Use static methods to show structure and eliminate redundancy in your solution.

In particular, make sure that main contains no System.out.println statementsExcept for blank lines, that any System.out.println statement(s) repeated are captured in a method that is called just once, and that the same System.out.println statement never appears in two places in the code.

    *****
  *********
*************

    *****
  *********
*************
* | | | | | *
*************
    *****
  *********
*************

    *****
  *********
*************
    *****
* | | | | | *
* | | | | | *
    *****
    *****",,,
1.15E,Free-Response,Exercise 1.15: EggStop,"Write a complete Java program in a class named EggStop that generates the following output. Use static methods to show structure and eliminate redundancy in your solution.

  ______
 /      \
/        \
\        /
 \______/

  ______
 /      \
/        \
\        /
 \______/
+--------+

  ______
 /      \
/        \
|  STOP  |
\        /
 \______/
+--------+",,,
1.16E,Free-Response,Exercise 1.16: Shining,"Write a program in a class named Shining that prints the following line of output 1000 times:

All work and no play makes Jack a dull boy.
You should not write a program whose source code is 1000 lines long; use methods to shorten the program. What is the shortest program you can write that will produce the 1000 lines of output, using only the material from Chapter 1 (println, methods, etc.)?",,,
1.17E,Free-Response,Exercise 1.17: FarewellGoodBye,"Write a program called FarewellGoodBye that prints the following lyrics. Use static methods to show structure and eliminate redundancy in your solution.

Farewell,
goodbye,
au revoir,
good night!
It's time, to go,
and I'll be out of sight!

Farewell,
goodbye,
au revoir,
take care!
I'll say, goodbye,
that's neither here nor there!

Farewell,
goodbye,
au revoir,
see you later!
I hope, you think,
I'm a lover, not a hater!",,,
1.18E,,,,,,
